Time (s)	Load (N)	Displacement (mm)
13,365	-14,5	-3,009
13,389	-15	-3,124
13,413	-16	-3,235
13,437	-17	-3,324
13,461	-17,5	-3,379
13,485	-18,5	-3,417
13,509	-19	-3,442
13,533	-19,5	-3,46
13,557	-19,5	-3,472
13,581	-19,5	-3,481
13,605	-19,5	-3,487
13,629	-19,5	-3,491
13,653	-20	-3,494
13,677	-20	-3,496
13,701	-20	-3,497
13,725	-20	-3,498
13,749	-19,5	-3,498
13,773	-20	-3,499
13,797	-20	-3,499
13,821	-20	-3,499
13,845	-20	-3,5
13,869	-20	-3,429
13,893	-19,5	-3,294
13,917	-19,5	-3,172
13,941	-18,5	-3,05
13,965	-18,5	-2,935
13,989	-17	-2,81
14,013	-15	-2,69
14,037	-15	-2,57
14,061	-14	-2,455
14,085	-13,5	-2,33
14,109	-12,5	-2,21
14,133	-11	-2,095
14,157	-10,5	-1,97
14,181	-10	-1,85
14,205	-9	-1,73
14,229	-8,5	-1,61
14,253	-7	-1,49
14,277	-6,5	-1,375
14,301	-5,5	-1,25
14,325	-5	-1,13
14,349	-5	-1,015
14,373	-3,5	-0,895
14,397	-3	-0,775
14,421	-2,5	-0,655
14,445	-2	-0,53
14,469	-1,5	-0,41
14,493	-0,5	-0,29
14,517	0	-0,198
14,541	0	-0,138
14,565	0	-0,094
14,589	0	-0,065
14,613	1	-0,045
14,637	1	-0,032
14,661	1	-0,022
14,685	1	-0,015
14,709	1	-0,01
14,733	1	-0,007
14,757	1	-0,005
14,781	1	-0,003
14,805	1	-0,002
14,829	1	-0,001
14,853	1	-0,001
14,877	1	-0,001
14,901	1	-0,002
14,925	1	-0,116
14,949	1	-0,24
14,973	0,5	-0,367
14,997	0	-0,482
15,021	0	-0,608
15,045	-1	-0,728
15,069	-1,5	-0,848
15,093	-3	-0,963
15,117	-3	-1,088
15,141	-4	-1,208
15,165	-4,5	-1,328
15,189	-4,5	-1,448
15,213	-5,5	-1,568
15,237	-6	-1,688
15,261	-6,5	-1,808
15,285	-7	-1,928
15,309	-7,5	-2,048
15,333	-9	-2,163
15,357	-9,5	-2,288
15,381	-10,5	-2,403
15,405	-11	-2,528
15,429	-11,5	-2,643
15,453	-13	-2,768
15,477	-13,5	-2,883
15,501	-14,5	-3,008
15,525	-15	-3,128
15,549	-15,5	-3,243
15,573	-17	-3,321
15,597	-18	-3,378
15,621	-18,5	-3,417
15,645	-19	-3,443
15,669	-19	-3,46
15,693	-19,5	-3,472
15,717	-19,5	-3,481
15,741	-19,5	-3,487
15,765	-19,5	-3,491
15,789	-19,5	-3,494
15,813	-19,5	-3,496
15,837	-19,5	-3,497
15,861	-19,5	-3,498
15,885	-19,5	-3,498
15,909	-19,5	-3,499
15,933	-19,5	-3,499
15,957	-19,5	-3,5
15,981	-19,5	-3,474
16,005	-19,5	-3,338
16,029	-19,5	-3,213
16,053	-18,5	-3,092
16,077	-18	-2,972
16,101	-17	-2,856
16,125	-16	-2,711
16,149	-15	-2,616
16,173	-14	-2,492
16,197	-13,5	-2,371
16,221	-12,5	-2,256
16,245	-12	-2,136
16,269	-11	-2,011
16,293	-9,5	-1,891
16,317	-9	-1,772
16,341	-8,5	-1,656
