Time (s)	Load (N)	Displacement (mm)
14,95	-0,44	-0,575
14,974	-1,16	-0,695
14,998	-1,82	-0,81
15,023	-2,48	-0,935
15,046	-3,84	-1,055
15,07	-4,52	-1,176
15,094	-5,14	-1,295
15,118	-5,76	-1,415
15,142	-6,42	-1,535
15,166	-7,04	-1,655
15,19	-8,36	-1,775
15,214	-9,04	-1,925
15,244	-9,7	-2,046
15,268	-10,38	-2,165
15,292	-11,82	-2,286
15,316	-12,56	-2,406
15,34	-13,28	-2,526
15,364	-14,06	-2,681
15,394	-14,86	-2,796
15,419	-15,8	-2,916
15,442	-16,6	-3,036
15,466	-18,28	-3,156
15,49	-19,2	-3,264
15,514	-20,04	-3,338
15,538	-20,88	-3,388
15,562	-21,62	-3,423
15,586	-22,66	-3,447
15,61	-22,88	-3,464
15,634	-23,04	-3,474
15,658	-23,14	-3,483
15,682	-23,24	-3,488
15,706	-23,32	-3,492
15,73	-23,34	-3,494
15,754	-23,36	-3,496
15,778	-23,36	-3,497
15,802	-23,36	-3,498
15,826	-23,32	-3,498
15,85	-23,32	-3,499
15,874	-23,3	-3,499
15,898	-23,28	-3,5
15,922	-23,26	-3,438
15,946	-23,22	-3,3
15,97	-22,94	-3,181
15,994	-22,16	-3,055
16,018	-21,2	-2,934
16,042	-20,14	-2,814
16,066	-18,3	-2,694
16,09	-17,36	-2,574
16,114	-16,48	-2,454
16,138	-15,64	-2,334
16,162	-14,8	-2,214
16,186	-13,12	-2,094
16,21	-12,36	-1,974
16,234	-11,62	-1,854
16,258	-10,86	-1,734
16,282	-10,14	-1,614
16,306	-8,7	-1,494
16,33	-8	-1,374
16,354	-7,32	-1,259
16,378	-6,62	-1,134
16,402	-5,98	-1,014
16,426	-5,32	-0,894
16,45	-4,06	-0,774
16,474	-3,42	-0,654
16,498	-2,82	-0,534
16,522	-2,2	-0,414
16,546	-1,04	-0,294
16,57	-0,46	-0,202
16,594	0,08	-0,139
16,618	0,08	-0,096
16,642	0,96	-0,066
16,666	1,44	-0,045
16,691	1,58	-0,032
16,714	1,68	-0,021
16,739	1,74	-0,015
16,762	1,78	-0,01
16,786	1,82	-0,008
16,81	1,82	-0,005
16,834	1,82	-0,003
16,858	1,82	-0,002
16,882	1,78	-0,002
16,906	1,78	-0,001
16,93	1,78	-0,001
16,954	1,76	0
16,978	1,74	-0,054
17,002	1,72	-0,191
17,026	1,36	-0,315
17,05	0,96	-0,431
17,074	0,2	-0,556
17,098	0,2	-0,676
17,122	-1,22	-0,796
17,146	-2,62	-0,916
17,17	-3,26	-1,036
17,194	-3,96	-1,156
17,218	-4,6	-1,276
17,242	-5,28	-1,396
17,266	-6,58	-1,516
17,29	-7,22	-1,636
17,314	-7,22	-1,756
17,338	-8,54	-1,876
17,362	-9,2	-1,996
17,386	-9,2	-2,116
17,41	-11,28	-2,236
17,434	-11,98	-2,356
17,458	-12,7	-2,476
17,482	-12,7	-2,596
17,506	-15,06	-2,716
17,53	-15,84	-2,836
17,554	-16,66	-2,956
17,578	-16,66	-3,076
17,602	-17,5	-3,196
17,626	-20,06	-3,292
17,65	-20,84	-3,357
17,674	-20,84	-3,402
17,698	-20,84	-3,432
17,722	-22,44	-3,452
17,746	-22,94	-3,468
17,77	-23,08	-3,478
17,794	-23,16	-3,485
17,818	-23,22	-3,489
17,842	-23,24	-3,492
17,866	-23,26	-3,495
17,89	-23,26	-3,496
17,914	-23,26	-3,497
17,938	-23,24	-3,498
17,962	-23,24	-3,498
17,986	-23,22	-3,499
18,01	-23,18	-3,499
18,034	-23,16	-3,5
18,058	-23,14	-3,425
18,082	-23,14	-3,289
18,106	-22,2	-3,166
18,13	-21,44	-3,044
18,154	-20,32	-2,924
18,178	-20,32	-2,804
18,202	-19,42	-2,684
18,226	-17,36	-2,564
18,25	-16,48	-2,444
18,274	-15,62	-2,324
18,298	-14,8	-2,204
18,322	-13,88	-2,084
18,346	-12,3	-1,964
18,37	-11,56	-1,844
18,394	-10,8	-1,724
18,418	-10,02	-1,604
18,442	-9,32	-1,484
18,466	-7,92	-1,364
18,49	-7,24	-1,244
18,514	-6,56	-1,124
18,538	-5,9	-1,004
18,562	-5,26	-0,884
18,586	-3,98	-0,764
18,61	-3,36	-0,644
18,634	-2,76	-0,529
18,658	-2,14	-0,404
18,682	-1,56	-0,285
18,706	-0,4	-0,196
18,73	0,14	-0,135
18,754	0,62	-0,092
18,778	1,04	-0,064
18,802	1,32	-0,044
18,826	1,66	-0,03
18,85	1,76	-0,021
18,874	1,82	-0,014
18,898	1,86	-0,01
18,922	1,88	-0,007
18,946	1,9	-0,005
18,97	1,9	-0,003
18,994	1,88	-0,002
19,018	1,88	-0,001
19,042	1,88	-0,001
19,066	1,86	-0,001
19,09	1,82	-0,002
19,114	1,82	-0,114
19,138	1,8	-0,241
19,162	1,46	-0,363
19,186	0,74	-0,484
19,21	0	-0,604
19,234	-0,68	-0,724
19,258	-0,68	-0,844
19,282	-2	-0,964
19,306	-3,34	-1,084
19,33	-4,02	-1,204
19,354	-4,68	-1,324
19,378	-5,32	-1,439
19,402	-5,98	-1,564
19,426	-7,28	-1,684
19,45	-7,94	-1,804
19,474	-8,6	-1,929
19,498	-9,3	-2,044
19,522	-10	-2,164
19,546	-10,68	-2,284
19,57	-12,1	-2,404
19,594	-12,86	-2,524
19,618	-13,62	-2,644
19,643	-14,38	-2,764
19,666	-15,98	-2,884
19,69	-16,8	-3,004
19,714	-17,66	-3,124
19,738	-18,5	-3,24
19,762	-19,34	-3,321
19,786	-20,94	-3,377
19,81	-21,56	-3,415
19,834	-22,12	-3,441
19,858	-22,46	-3,459
19,882	-22,72	-3,472
19,906	-23,02	-3,481
19,93	-23,08	-3,487
19,954	-23,12	-3,491
19,978	-23,14	-3,494
20,002	-23,14	-3,495
20,026	-23,14	-3,497
20,05	-23,14	-3,498
20,074	-23,12	-3,498
20,098	-23,1	-3,499
20,122	-23,08	-3,499
20,146	-23,04	-3,5
20,17	-23,02	-3,451
20,194	-23	-3,31
20,218	-23	-3,185
20,242	-22,12	-3,064
20,266	-20,2	-2,944
20,29	-20,2	-2,823
20,314	-19,3	-2,703
20,338	-17,44	-2,583
20,362	-16,54	-2,463
20,386	-16,54	-2,343
20,41	-14,84	-2,223
20,434	-13,22	-2,103
20,458	-12,44	-1,983
20,482	-11,68	-1,863
20,506	-10,92	-1,743
20,53	-9,44	-1,623
20,554	-8,72	-1,503
20,578	-8,04	-1,383
20,602	-7,34	-1,263
20,626	-6,02	-1,143
20,65	-5,34	-1,023
20,674	-4,72	-0,903
20,698	-4,1	-0,783
20,722	-3,46	-0,663
20,746	-2,24	-0,543
20,77	-1,66	-0,423
20,794	-1,06	-0,303
20,818	-0,48	-0,208
20,842	0,06	-0,143
20,866	1	-0,098
20,89	1,32	-0,068
20,914	1,56	-0,047
20,938	1,7	-0,032
20,962	1,8	-0,022
20,986	1,92	-0,015
21,01	1,96	-0,011
21,034	1,96	-0,008
21,058	1,98	-0,005
21,082	1,98	-0,003
21,106	1,96	-0,002
21,13	1,94	-0,001
21,154	1,92	-0,001
21,178	1,92	-0,001
21,202	1,9	-0,001
21,226	1,88	-0,109
21,25	1,68	-0,237
21,274	1,22	-0,359
21,298	0,72	-0,48
21,322	-0,04	-0,6
21,346	-1,38	-0,72
21,37	-2,02	-0,84
21,394	-2,68	-0,96
21,418	-3,32	-1,08
21,442	-3,98	-1,2
21,466	-5,24	-1,32
21,49	-5,24	-1,44
21,514	-5,88	-1,56
21,538	-7,16	-1,68
21,562	-7,8	-1,8
21,586	-7,8	-1,92
21,61	-9,12	-2,04
21,634	-10,48	-2,16
21,658	-11,2	-2,28
21,682	-11,9	-2,4
21,706	-13,4	-2,52
21,73	-14,14	-2,64
21,754	-14,94	-2,76
21,778	-15,72	-2,88
21,802	-16,54	-3
21,826	-18,18	-3,12
21,85	-18,98	-3,236
21,874	-19,82	-3,319
21,898	-20,64	-3,375
21,922	-21,3	-3,414
21,946	-22,26	-3,441
21,97	-22,54	-3,459
21,994	-22,54	-3,472
22,018	-22,72	-3,48
22,042	-22,96	-3,486
22,066	-23,06	-3,491
22,09	-23,06	-3,493
22,114	-23,06	-3,495
22,138	-23,06	-3,497
22,162	-23,06	-3,498
22,186	-23,04	-3,498
22,21	-23,02	-3,499
22,234	-23	-3,499
22,258	-22,98	-3,5
22,282	-22,96	-3,494
22,306	-22,94	-3,372
22,33	-22,94	-3,244
